question_id,alumno_id,student_answer,teacher_grade
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",9.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",7.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",6.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",7.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",8.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",6.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",8.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",7.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",10.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",9.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",6.0
Q675600740,1,"Una buena práctica en TDD es la regla FIRST: los tests deben ser rápidos, independientes, repetibles, autovalidables y oportunos. El impacto es positivo ya que al tener pruebas bien estructuradas la cobertura aumenta y hay menos bugs en el sistema. Esto es fundamental.",3.0
